epoch,time(s),train_loss,test_loss,test_error(%)
001,00179,0.263286,0.16781,3.90
002,00172,0.504643,0.16365,3.63
003,00170,0.267992,0.14671,3.21
004,00169,0.169767,0.13776,3.10
005,00169,0.117300,0.13712,3.13
