epoch,time(s),train_loss,test_loss,test_error(%)
001,00196,5.143888,2.12844,35.99
002,00198,6.264981,2.15899,38.40
003,00196,4.278471,1.84346,34.02
004,00196,6.441133,2.20604,36.17
005,00196,4.049544,1.95243,31.93
006,00196,3.622226,1.84637,31.12
007,00196,4.249326,1.92728,31.15
008,00196,4.362809,1.86129,29.28
009,00196,3.532505,1.72703,27.91
010,00196,3.836276,1.79754,27.05
011,00196,2.932864,1.66305,25.77
012,00196,2.457813,1.60401,25.25
013,00196,3.061015,1.70665,25.29
014,00196,2.471353,1.70143,25.69
015,00196,2.434048,1.70387,25.24
016,00196,2.077240,1.65344,24.31
017,00196,2.323642,1.70443,24.42
018,00196,2.050788,1.75044,24.44
019,00196,1.591931,1.68871,23.96
020,00196,2.073182,1.73600,24.27
