epoch,time(s),train_loss,test_loss,test_error(%)
001,00046,1.236633,1.28249,45.23
002,00045,0.973984,1.22623,41.16
003,00045,0.842758,1.08643,34.82
004,00045,0.701034,0.80434,28.27
005,00045,0.676176,0.89336,30.01
006,00045,0.563299,0.60769,20.72
007,00045,0.603686,0.56926,19.34
008,00045,0.637048,0.68088,23.58
009,00045,0.561399,0.86991,27.73
010,00046,0.550414,0.63920,21.18
011,00045,0.572141,0.58507,19.81
012,00045,0.479123,0.58033,19.03
013,00045,0.460465,0.67622,22.37
014,00045,0.451884,0.72166,22.47
015,00045,0.468079,0.53053,17.34
016,00045,0.465469,0.50654,16.71
017,00045,0.413302,0.56210,18.21
018,00045,0.461989,0.56488,18.87
019,00045,0.413905,0.44719,15.26
020,00045,0.431055,0.59869,19.52
021,00045,0.393078,0.59358,19.48
022,00045,0.489677,0.62760,20.46
023,00045,0.392784,0.43544,14.81
024,00045,0.408274,0.57287,19.10
025,00045,0.384440,0.50793,17.09
026,00045,0.441446,0.51461,16.70
027,00045,0.396171,0.51145,16.61
028,00045,0.411279,0.48598,15.78
029,00045,0.394338,0.42129,14.56
030,00045,0.394164,0.55250,17.85
031,00045,0.383431,0.41792,14.11
032,00045,0.387241,0.52647,17.14
033,00045,0.372540,0.42954,14.45
034,00045,0.358562,0.46496,15.54
035,00045,0.391145,0.49394,16.21
036,00045,0.379478,0.51596,17.23
037,00045,0.376336,0.58709,18.07
038,00045,0.338623,0.36872,12.37
039,00045,0.431085,0.43029,13.99
040,00045,0.326932,0.40183,13.37
041,00045,0.351243,0.39999,12.99
042,00045,0.360486,0.59889,19.34
043,00045,0.330717,0.37114,12.33
044,00045,0.345314,0.36577,12.30
045,00045,0.327690,0.41848,13.66
046,00045,0.344270,0.43740,14.72
047,00045,0.333834,0.37095,12.39
048,00045,0.368662,0.49564,16.14
049,00045,0.338595,0.34015,11.44
050,00045,0.269026,0.39664,13.09
051,00045,0.276046,0.35419,11.86
052,00045,0.297526,0.38345,12.31
053,00045,0.270256,0.40340,12.71
054,00045,0.294164,0.30155,10.20
055,00045,0.288074,0.34097,11.43
056,00045,0.261624,0.30968,10.14
057,00045,0.268358,0.32483,10.99
058,00045,0.268726,0.29910,9.83
059,00045,0.276261,0.32540,10.31
060,00045,0.234210,0.30100,10.03
061,00045,0.223622,0.31533,10.23
062,00045,0.243854,0.34060,11.08
063,00045,0.250580,0.28398,9.55
064,00045,0.244716,0.34339,11.26
065,00045,0.204303,0.28361,9.43
066,00045,0.225911,0.28618,9.47
067,00045,0.219263,0.28076,9.11
068,00045,0.201784,0.30117,9.59
069,00045,0.195089,0.25353,8.29
070,00045,0.197571,0.25423,8.26
071,00045,0.207397,0.24546,7.86
072,00045,0.201586,0.25734,8.36
073,00045,0.114275,0.23821,7.80
074,00045,0.150878,0.25118,8.05
075,00045,0.153727,0.23136,7.09
076,00045,0.152643,0.24814,7.93
077,00045,0.128088,0.22017,7.09
078,00045,0.123935,0.23979,7.58
079,00045,0.089416,0.22635,7.10
080,00045,0.119942,0.20341,6.12
081,00045,0.110878,0.20581,6.36
082,00045,0.081780,0.20546,6.33
083,00045,0.067233,0.20391,6.12
084,00045,0.083871,0.20695,6.22
085,00045,0.064679,0.19913,5.77
086,00045,0.051430,0.19129,5.54
087,00045,0.064834,0.20115,5.47
088,00045,0.030196,0.20187,5.58
089,00045,0.046007,0.19950,5.40
090,00045,0.033238,0.20107,5.45
091,00045,0.032114,0.19413,5.17
092,00045,0.027660,0.19979,5.25
093,00045,0.020542,0.20190,5.25
094,00045,0.024266,0.20003,5.24
095,00045,0.019147,0.19861,5.21
096,00045,0.033726,0.19528,5.13
097,00045,0.014787,0.19570,5.26
098,00045,0.013498,0.19550,5.25
099,00045,0.020132,0.19529,5.13
100,00046,0.027150,0.19617,5.24
