epoch,time(s),train_loss,test_loss,test_error(%)
001,01122,0.124129,0.14516,3.47
002,01122,0.107283,0.12402,2.75
003,01121,0.083960,0.10582,2.35
004,01122,0.071830,0.09548,2.12
005,01123,0.081502,0.08889,1.89
