epoch,time(s),train_loss,test_loss,test_error(%)
001,00553,0.424311,0.16178,3.77
002,00545,0.359351,0.16900,3.73
003,00545,0.332072,0.16095,3.53
004,00545,0.205603,0.15394,3.35
005,00545,0.212748,0.15232,3.40
