epoch,time(s),train_loss,test_loss,test_error(%)
001,00069,5.649004,2.87958,45.73
002,00064,4.092010,2.01858,36.03
003,00065,3.657367,1.62481,33.25
004,00064,4.621641,2.66635,44.23
005,00064,3.237983,1.73442,33.22
006,00064,2.802303,1.41212,29.82
007,00064,2.953160,1.45461,30.56
008,00065,3.320507,1.75117,35.18
009,00064,3.536690,1.61008,31.60
010,00067,3.339426,1.39264,29.97
011,00064,2.737527,1.38214,29.59
012,00064,2.233980,1.25144,28.52
013,00064,2.942067,1.49085,33.74
014,00064,5.893910,4.38594,44.24
015,00064,2.758872,1.43666,28.93
016,00064,2.813283,1.31478,28.02
017,00064,2.779816,1.49525,28.89
018,00064,2.610036,1.32851,27.81
019,00064,2.501414,1.26302,26.49
020,00064,2.163705,1.31315,27.94
021,00064,2.588599,1.27650,27.05
022,00064,2.472245,1.24871,26.32
023,00064,2.252954,1.23262,25.95
024,00064,2.697923,1.24997,26.09
025,00064,2.221206,1.24753,25.98
026,00064,2.055815,1.23274,25.68
027,00064,2.850846,1.26177,25.92
028,00064,2.185353,1.22999,26.07
029,00064,2.543823,1.26268,26.07
030,00064,2.796706,1.25354,26.20
